,구군,읍면동,년월,총 유동인구
549,금정구,남산동,2019-10,193418
550,금정구,구서1동,2019-10,136556
551,금정구,구서2동,2019-10,220320
552,금정구,금성동,2019-10,12729
553,강서구,대저1동,2019-10,97767
554,강서구,대저2동,2019-10,139739
555,강서구,강동동,2019-10,40635
556,강서구,가락동,2019-10,24178
557,강서구,녹산동,2019-10,363566
558,강서구,가덕도동,2019-10,37427
559,연제구,거제1동,2019-10,223326
560,연제구,거제2동,2019-10,124992
561,연제구,거제3동,2019-10,95576
562,연제구,거제4동,2019-10,55466
563,연제구,연산1동,2019-10,112534
564,연제구,연산2동,2019-10,120211
565,연제구,연산3동,2019-10,62819
566,연제구,연산4동,2019-10,108376
567,연제구,연산5동,2019-10,159755
568,연제구,연산6동,2019-10,72152
569,연제구,연산8동,2019-10,92284
570,연제구,연산9동,2019-10,268478
571,수영구,남천1동,2019-10,164786
572,수영구,남천2동,2019-10,86315
573,수영구,수영동,2019-10,107246
574,수영구,망미1동,2019-10,176843
575,수영구,망미2동,2019-10,76010
576,수영구,광안1동,2019-10,153961
577,수영구,광안2동,2019-10,109289
578,수영구,광안3동,2019-10,94068
579,수영구,광안4동,2019-10,72588
580,수영구,민락동,2019-10,170236
581,사상구,삼락동,2019-10,68675
582,사상구,모라1동,2019-10,203782
583,사상구,모라3동,2019-10,65892
584,사상구,덕포1동,2019-10,96247
585,사상구,덕포2동,2019-10,110694
586,사상구,괘법동,2019-10,235742
587,사상구,감전동,2019-10,163210
588,사상구,주례1동,2019-10,102705
589,사상구,주례2동,2019-10,198924
590,사상구,주례3동,2019-10,119006
591,사상구,학장동,2019-10,225897
592,사상구,엄궁동,2019-10,190325
593,기장군,기장읍,2019-10,419749
594,기장군,장안읍,2019-10,109419
595,기장군,일광면,2019-10,93603
596,기장군,철마면,2019-10,60357
597,중구,중앙동,2019-11,119340
598,중구,동광동,2019-11,29264
599,중구,대청동,2019-11,52111
600,중구,보수동,2019-11,61555
601,중구,부평동,2019-11,61356
602,중구,광복동,2019-11,48351
603,중구,남포동,2019-11,83915
604,중구,영주1동,2019-11,39891
605,중구,영주2동,2019-11,42165
606,서구,동대신1동,2019-11,42993
607,서구,동대신2동,2019-11,43190
608,서구,동대신3동,2019-11,68311
609,서구,서대신1동,2019-11,88651
610,서구,서대신3동,2019-11,56334
611,서구,서대신4동,2019-11,48932
612,서구,부민동,2019-11,54131
613,서구,아미동,2019-11,73416
614,서구,초장동,2019-11,19265
615,서구,충무동,2019-11,92516
616,서구,남부민1동,2019-11,45034
617,서구,남부민2동,2019-11,53417
618,서구,암남동,2019-11,142288
619,동구,초량1동,2019-11,49916
620,동구,초량2동,2019-11,61346
621,동구,초량3동,2019-11,120394
622,동구,초량6동,2019-11,40430
623,동구,수정1동,2019-11,34583
624,동구,수정2동,2019-11,68189
625,동구,수정4동,2019-11,20307
626,동구,수정5동,2019-11,28220
627,동구,범일1동,2019-11,47900
628,동구,범일2동,2019-11,152058
629,동구,범일5동,2019-11,32094
630,영도구,남항동,2019-11,97375
631,영도구,영선1동,2019-11,40431
632,영도구,영선2동,2019-11,75621
633,영도구,신선동,2019-11,41663
634,영도구,봉래1동,2019-11,60649
635,영도구,봉래2동,2019-11,45905
636,영도구,청학1동,2019-11,42123
637,영도구,청학2동,2019-11,112704
638,영도구,동삼1동,2019-11,209499
639,영도구,동삼2동,2019-11,60683
640,영도구,동삼3동,2019-11,75823
641,부산진구,부전1동,2019-11,236494
642,부산진구,부전2동,2019-11,328563
643,부산진구,연지동,2019-11,130042
644,부산진구,초읍동,2019-11,152264
645,부산진구,양정1동,2019-11,173830
646,부산진구,양정2동,2019-11,110265
647,부산진구,전포1동,2019-11,171582
648,부산진구,전포2동,2019-11,113103
649,부산진구,부암1동,2019-11,113052
650,부산진구,부암3동,2019-11,121434
651,부산진구,당감1동,2019-11,175252
652,부산진구,당감2동,2019-11,62303
653,부산진구,당감4동,2019-11,108927
654,부산진구,가야1동,2019-11,182915
655,부산진구,가야2동,2019-11,134342
656,부산진구,개금1동,2019-11,119299
657,부산진구,개금2동,2019-11,92903
658,부산진구,개금3동,2019-11,174192
659,부산진구,범천1동,2019-11,125343
660,부산진구,범천2동,2019-11,82345
661,동래구,수민동,2019-11,225480
662,동래구,복산동,2019-11,67108
663,동래구,명륜동,2019-11,165563
664,동래구,온천1동,2019-11,189282
665,동래구,온천2동,2019-11,170898
666,동래구,온천3동,2019-11,209068
667,동래구,사직1동,2019-11,69011
668,동래구,사직2동,2019-11,179872
669,동래구,사직3동,2019-11,97160
670,동래구,안락1동,2019-11,132071
671,동래구,안락2동,2019-11,176404
672,동래구,명장1동,2019-11,88232
673,동래구,명장2동,2019-11,107805
674,남구,대연1동,2019-11,108359
675,남구,대연3동,2019-11,339413
676,남구,대연4동,2019-11,72920
677,남구,대연5동,2019-11,94834
678,남구,대연6동,2019-11,69008
679,남구,용호1동,2019-11,308333
680,남구,용호2동,2019-11,120581
681,남구,용호3동,2019-11,76655
682,남구,용호4동,2019-11,62956
683,남구,용당동,2019-11,92057
684,남구,감만1동,2019-11,107547
685,남구,감만2동,2019-11,50914
686,남구,우암동,2019-11,103049
687,남구,문현1동,2019-11,73156
688,남구,문현2동,2019-11,83114
689,남구,문현3동,2019-11,86937
690,남구,문현4동,2019-11,74048
691,북구,구포1동,2019-11,121240
692,북구,구포2동,2019-11,183420
693,북구,구포3동,2019-11,131347
694,북구,금곡동,2019-11,236944
695,북구,화명1동,2019-11,221533
696,북구,화명2동,2019-11,93343
697,북구,화명3동,2019-11,249790
698,북구,덕천1동,2019-11,120830
699,북구,덕천2동,2019-11,177900
700,북구,덕천3동,2019-11,56330
701,북구,만덕1동,2019-11,62606
702,북구,만덕2동,2019-11,137315
703,북구,만덕3동,2019-11,148134
704,해운대구,우1동,2019-11,287211
705,해운대구,우2동,2019-11,345469
706,해운대구,중1동,2019-11,238422
707,해운대구,중2동,2019-11,87583
708,해운대구,좌1동,2019-11,180857
709,해운대구,좌2동,2019-11,176130
710,해운대구,좌3동,2019-11,124372
711,해운대구,좌4동,2019-11,165685
712,해운대구,송정동,2019-11,80438
713,해운대구,반여1동,2019-11,243808
714,해운대구,반여2동,2019-11,70798
715,해운대구,반여3동,2019-11,60540
716,해운대구,반여4동,2019-11,91722
717,해운대구,반송1동,2019-11,136205
718,해운대구,반송2동,2019-11,171545
719,해운대구,재송1동,2019-11,281738
720,해운대구,재송2동,2019-11,191136
721,사하구,괴정1동,2019-11,153081
722,사하구,괴정2동,2019-11,84316
723,사하구,괴정3동,2019-11,85541
724,사하구,괴정4동,2019-11,88986
725,사하구,당리동,2019-11,185390
726,사하구,하단1동,2019-11,190022
727,사하구,하단2동,2019-11,220634
728,사하구,신평1동,2019-11,104980
729,사하구,신평2동,2019-11,131693
730,사하구,장림1동,2019-11,110492
731,사하구,장림2동,2019-11,201143
732,사하구,다대1동,2019-11,288861
733,사하구,다대2동,2019-11,183536
734,사하구,구평동,2019-11,58155
735,사하구,감천1동,2019-11,148897
736,사하구,감천2동,2019-11,44371
737,금정구,서1동,2019-11,46903
738,금정구,서2동,2019-11,74314
