,구군,읍면동,예측 유동인구,총 인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),경쟁업체 수,예측 유동인구 평균,경쟁업체 평균,영업이익/매출액(%) 평균
91,남구,문현2동,9.1811,9.143,6.3618,20.865,14.4016,3.910160406731565,1.7,10.136235294117647,2.7294117647058824,5.757448120227499
92,남구,문현3동,7.9084,14.623,10.1748,20.865,14.4016,4.4914615094542905,1.3,10.136235294117647,2.7294117647058824,5.757448120227499
93,남구,문현4동,13.2566,9.693,6.7444,20.865,14.4016,4.9839517267941975,1.1,10.136235294117647,2.7294117647058824,5.757448120227499
94,북구,구포1동,19.8231,15.074,9.2452,20.865,14.4016,9.957072692818377,4.7,13.589007692307693,3.246153846153847,7.027073274754459
95,북구,구포2동,11.5948,26.932,16.518,20.865,14.4016,4.209950484440384,4.4,13.589007692307693,3.246153846153847,7.027073274754459
96,북구,구포3동,12.8494,21.128,12.9582,16.145,11.2344,8.681116709446398,4.0,13.589007692307693,3.246153846153847,7.027073274754459
97,북구,금곡동,7.2933,40.215,24.6648,16.145,11.2344,5.098327447430219,4.3,13.589007692307693,3.246153846153847,7.027073274754459
98,북구,화명1동,4.414,43.869,26.9058,16.145,11.2344,6.765236616650139,2.6,13.589007692307693,3.246153846153847,7.027073274754459
99,북구,화명2동,13.4477,16.052,9.845,16.145,11.2344,7.034984897885704,1.9,13.589007692307693,3.246153846153847,7.027073274754459
100,북구,화명3동,9.8306,30.982,19.002,16.145,11.2344,7.056765369101938,3.5,13.589007692307693,3.246153846153847,7.027073274754459
101,북구,덕천1동,13.0614,13.529,8.2976,16.145,11.2344,9.827838129724922,2.5,13.589007692307693,3.246153846153847,7.027073274754459
102,북구,덕천2동,8.0551,12.646,7.756,16.145,11.2344,3.5142442949521935,6.4,13.589007692307693,3.246153846153847,7.027073274754459
103,북구,덕천3동,15.3737,11.428,7.009,16.145,11.2344,8.004571138340424,0.7,13.589007692307693,3.246153846153847,7.027073274754459
104,북구,만덕1동,15.2613,11.912,7.3058,16.145,11.2344,5.6521925868659535,1.5,13.589007692307693,3.246153846153847,7.027073274754459
105,북구,만덕2동,22.9848,27.784,17.0406,16.145,11.2344,6.722701871393116,4.2,13.589007692307693,3.246153846153847,7.027073274754459
106,북구,만덕3동,22.6679,19.581,12.0094,16.145,11.2344,8.826950332758196,1.5,13.589007692307693,3.246153846153847,7.027073274754459
107,해운대구,우1동,1.6429,23.004,20.1154,16.145,11.2344,5.719223455026227,7.5,8.455194117647059,3.8176470588235287,7.324890534882295
108,해운대구,우2동,-0.7864,31.399,27.4564,16.145,11.2344,6.444909227680941,8.6,8.455194117647059,3.8176470588235287,7.324890534882295
