,구군,읍면동,년월,총 유동인구,총 인구,예측 유동인구,예측 구매력,구의 동별 평균 인구,구의 동별 평균 구매력,영업이익/매출액(%),편의점 수,대형마트 수,슈퍼마켓 수,경쟁업체 수,총 인구_정규화,예측 유동인구_정규화,예측 구매력_정규화,영업이익/매출액(%)_정규화,경쟁업체 수_정규화,구의 동별 평균 인구_정규화,구의 동별 평균 구매력_정규화,등급 점수,등급,경도,위도
2198,연제구,연산1동,2020-07,42495,16954,99753,47016000.0,17449,48391000,5.885893601012975,11,2,21,34,0.0931880534318462,-0.423172995721477,-0.19286170468447186,-0.25587076839118295,0.0028499989524276106,0.26586210715187825,-0.2670064006714793,-0.6818879608242544,고려,129.09011588529413,35.1892654835294
2199,연제구,연산2동,2020-07,64676,16294,73361,45186000.0,17449,48391000,9.991355839512632,15,0,22,37,0.02457200547789168,-0.9303712968615823,-0.23553285205127295,1.2552164578738605,0.09737496420794503,0.26586210715187825,-0.2670064006714793,0.06313249946563015,양호,129.08056535135134,35.177140898108114
2200,연제구,연산3동,2020-07,98850,7837,131266,21733000.0,17449,48391000,10.437950423695256,3,0,11,14,-0.8546490817139165,0.18244007126200806,-0.7823997477854727,1.419593410400437,-0.6273164360843552,0.26586210715187825,-0.2670064006714793,-0.4281376706234974,고려,129.09421372857142,35.172622249999996
2201,연제구,연산4동,2020-07,53677,17244,97419,47821000.0,17449,48391000,3.30013378920767,14,1,30,45,0.12333752904797773,-0.46802752871863545,-0.17409106335645283,-1.2076049203137265,0.34944153822265817,0.26586210715187825,-0.2670064006714793,-1.8752019231918777,나쁨,129.0843278977778,35.185936643333335
2202,연제구,연산5동,2020-07,42450,16369,72699,45394000.0,17449,48391000,7.789433733249848,35,1,38,74,0.03236928365447742,-0.9430935337271003,-0.23068279814291523,0.444760490991,1.2631828690259932,0.26586210715187825,-0.2670064006714793,-1.6718668519476318,나쁨,129.07876726216213,35.18461408162161
2203,연제구,연산6동,2020-07,51638,17655,85302,48960000.0,17449,48391000,10.058030565167245,6,1,23,30,0.1660666134556676,-0.7008905862707215,-0.1475323546948209,1.2797572575203897,-0.12318328805492895,0.26586210715187825,-0.2670064006714793,0.8714916021723489,양호,129.09053598666668,35.17537642666666
2204,연제구,연산8동,2020-07,67654,14948,101779,41453000.0,17449,48391000,6.8584876337640415,9,1,32,42,-0.1153631468645671,-0.38423756990646285,-0.3225773291661737,0.10210948665771874,0.25491657296714076,0.26586210715187825,-0.2670064006714793,-1.0436195739800356,고려,129.09721553571424,35.18800063857144
2205,연제구,연산9동,2020-07,19236,37056,8566,102763000.0,17449,48391000,6.794549230847165,23,2,17,42,2.1830665321748675,-2.175593861364959,1.1070226954559976,0.07857583848299149,0.25491657296714076,0.26586210715187825,-0.2670064006714793,3.2801039431287626,좋음,129.10622908809518,35.184718713571435
2206,수영구,남천1동,2020-01,93289,14211,180171,59849000.0,17614,74184000,4.495330650671932,18,1,26,45,-0.19198440041314965,1.122290515232031,0.10637263092107903,-0.7676917984016034,0.34944153822265817,0.2973787788910533,0.7316377691677488,-1.6255247740116654,고려,129.1096511955556,35.14288963155556
2207,수영구,남천2동,2020-01,45214,12453,117588,52445000.0,17614,74184000,9.313543599257883,3,0,15,18,-0.37475260087231943,-0.08042209769049119,-0.06627063416296203,1.0057358005071642,-0.5012831490769987,0.2973787788910533,0.7316377691677488,-0.9449133701298583,고려,129.11425861111107,35.14535301722222
2208,수영구,수영동,2020-01,58021,15230,90804,64141000.0,17614,74184000,7.301972138595708,8,0,26,34,-0.08604538092060471,-0.5951538079715074,0.20645162791469115,0.2653417200499114,0.0028499989524276106,0.2973787788910533,0.7316377691677488,-1.7018615164698672,나쁨,129.11649833823526,35.17048100441176
2209,수영구,망미1동,2020-01,141423,28504,134300,120043000.0,17614,74184000,8.728546335682392,8,1,25,34,1.2939688926260504,0.24074712058222172,1.509950250919562,0.7904173196551805,0.0028499989524276106,0.2973787788910533,0.7316377691677488,3.9680387762799287,좋음,129.10421071764705,35.17427581117647
2210,수영구,망미2동,2020-01,47295,11987,163787,50483000.0,17614,74184000,5.533518391868153,6,1,7,14,-0.4231996892761722,0.8074247617506927,-0.11201970035622087,-0.38556863100891453,-0.6273164360843552,0.2973787788910533,0.7316377691677488,-1.498797764396365,고려,129.11314578571427,35.176825297142855
2211,수영구,광안1동,2020-01,63772,26280,95883,110677000.0,17614,74184000,7.0412154884063725,15,2,16,33,1.0627536037630279,-0.4975461931075109,1.291557919642262,0.1693656714652422,-0.02865832279941153,0.2973787788910533,0.7316377691677488,1.9119636880600692,좋음,129.11354819393944,35.16209235424242
2212,수영구,광안2동,2020-01,129220,18960,171099,79849000.0,17614,74184000,4.756869423756386,19,0,34,53,0.3017392537282595,0.9479459036852353,0.5727239682631672,-0.6714278757975121,0.6015081122373713,0.2973787788910533,0.7316377691677488,-0.36366427243268096,고려,129.1152047169811,35.1536975216981
2213,수영구,광안3동,2020-01,37766,10394,93353,43774000.0,17614,74184000,4.918327952734475,14,0,22,36,-0.5888138777468533,-0.5461674306751249,-0.26845725646762436,-0.6120002385335787,0.06586664245610589,0.2973787788910533,0.7316377691677488,-4.150486144982406,나쁨,129.11356492222228,35.16775982916667
2214,수영구,광안4동,2020-01,26527,11238,118730,47328000.0,17614,74184000,2.677477305985509,7,1,29,37,-0.5010685073330085,-0.05847527820344965,-0.1855866238219353,-1.4367845360278317,0.09737496420794503,0.2973787788910533,0.7316377691677488,-4.23882439495757,나쁨,129.11173625945946,35.15793581351352
2215,수영구,민락동,2020-01,79636,26891,120686,113250000.0,17614,74184000,6.966868098497586,24,0,26,50,1.1262754299749465,-0.020885104020741032,1.3515540191913216,0.14200081346124543,0.5069831469818539,0.2973787788910533,0.7316377691677488,2.131080569867967,좋음,129.125213094,35.15739911739999
