요일,구군,년,월,읍면동,주중/주말,지역코드,평균 유동인구,주중/주말 유동인구
일,부산진구,2020,05,양정제2동,주말,26230,"13,700명","13,700"
일,부산진구,2020,05,전포제1동,주말,26230,"23,058명","23,058"
일,부산진구,2020,05,전포제2동,주말,26230,"17,004명","17,004"
일,부산진구,2020,05,부암제1동,주말,26230,"20,807명","20,807"
일,부산진구,2020,05,부암제3동,주말,26230,"17,219명","17,219"
일,부산진구,2020,05,당감제1동,주말,26230,"26,468명","26,468"
일,부산진구,2020,05,당감제2동,주말,26230,"9,685명","9,685"
일,부산진구,2020,05,당감제4동,주말,26230,"15,857명","15,857"
일,부산진구,2020,05,가야제1동,주말,26230,"23,562명","23,562"
일,부산진구,2020,05,가야제2동,주말,26230,"17,690명","17,690"
일,부산진구,2020,05,개금제1동,주말,26230,"18,670명","18,670"
일,부산진구,2020,05,개금제2동,주말,26230,"10,673명","10,673"
일,부산진구,2020,05,개금제3동,주말,26230,"28,746명","28,746"
일,부산진구,2020,05,범천제1동,주말,26230,"14,043명","14,043"
일,부산진구,2020,05,범천제2동,주말,26230,"12,126명","12,126"
일,부산진구,2020,06,부전제1동,주말,26230,"24,736명","24,736"
일,부산진구,2020,06,부전제2동,주말,26230,"37,005명","37,005"
일,부산진구,2020,06,연지동,주말,26230,"20,362명","20,362"
일,부산진구,2020,06,초읍동,주말,26230,"23,316명","23,316"
일,부산진구,2020,06,양정제1동,주말,26230,"29,164명","29,164"
일,부산진구,2020,06,양정제2동,주말,26230,"14,031명","14,031"
일,부산진구,2020,06,전포제1동,주말,26230,"23,089명","23,089"
일,부산진구,2020,06,전포제2동,주말,26230,"17,230명","17,230"
